O/E/A,Title (EN),Bezeichnung (deutsch),Beschreibung (falls nicht aus externer Ontologie entnommen)/Definition,Grund-/Fachbuch,Attribute,Relationen,UUID,key,anwendbar auf
Attribut,entity:abstract,Abstrakte Kategorie,"Es handelt sich bei der Idee um eine abstrakte Kategorie, die z.B. keine Tätigkeiten ausführen kann. Dieses Attribut unterscheidet primär Kategorien von klassischen Entitaten",Grundbuch,,,stc://base-0-5/entity:abstract,attribute.stc://base-0-5/entity:abstract,Entität
Attribut,entity:characteristic,Eigenschaften-Entität,"Die Entität beschreibt eine Eigenschaft eines Objekts, einer Person oder eines Tiers.",Grundbuch,,,stc://base-0-5/entity:characteristic,attribute.stc://base-0-5/entity:characteristic,Entität
Attribut,entity:schema,Schema-Eintität,"Die Entität beschreibt ein Schema im Sinne von Psychologie und Kommunikationswissenschaft, also z.B. einen typischen Ablauf oder eine typische Konstellation.",Grundbuch,,,stc://base-0-5/entity:schema,attribute.stc://base-0-5/entity:schema,Entität
Attribut,constraint:time,Einschränkung:Zeitraum,Die Entität ist nur für einen bestimmten Zeitraum definiert oder gültig. Der Zeitraum wird als Ausprägung mit Beginn (begin) und Ende (end) des Zeitraums angegeben.,Grundbuch,"Attribut:Einschränkung
Attribut:Wert erforderlich",,stc://base-0-5/constraint:time,attribute.stc://base-0-5/constraint:time,Entität
Attribut,operator:defines,Operator:definiert,Die Relation mit diesem Operator definiert eine neue Entität. Die Bezeichnung der Entität muss als „def“ angegeben werden.,Grundbuch,Attribut:Wert erforderlich,,stc://base-0-5/operator:defines,attribute.stc://base-0-5/operator:defines,Operator
Attribut,operator:activity,Operator:Handlung,Der Operator beschreibt eine Handlung,Grundbuch,,,stc://base-0-5/operator:activity,attribute.stc://base-0-5/operator:activity,Operator
Attribut,SchemePendingDecision,Operator:Entscheidung,"Der Operator beschreibt eine Willensbekundung oder Entscheidung. Die Richtung der Entscheidung (pro|con|none) muss als ""vote"" angegeben werden.",Grundbuch,Attribut:Wert erforderlich,,stc://base-0-5/SchemePendingDecision,attribute.stc://base-0-5/SchemePendingDecision,Operator
Attribut,operator:decision,Operator:Meinungsäußerung,"Der Operator beschreibt, dass ein Akteur eine Ansicht oder Meinung äußert.",Grundbuch,,,stc://base-0-5/operator:decision,attribute.stc://base-0-5/operator:decision,Operator
Attribut,operator:communication,Operator:Kommunikation,"Der Operator beschreibt eine kommunikative Tätigkeit, welche z.B. zu einer Handlung auffordert",Grundbuch,,,stc://base-0-5/operator:communication,attribute.stc://base-0-5/operator:communication,Operator
Attribut,operator:causality,Operator:Kausalität,Der Operator beschreibt den kausalen Zusammenhang zwischen zwei Entitäten,Grundbuch,,,stc://base-0-5/operator:causality,attribute.stc://base-0-5/operator:causality,Operator
Attribut,operator:relation,Operator:Verhältnis,Der Operator beschreibt das Verhältnis (Relation?) von Entitäten,Grundbuch,,,stc://base-0-5/operator:relation,attribute.stc://base-0-5/operator:relation,Operator
Attribut,relation:defines,definiert eine neue Relation,Die Relation definiert eine neue Entität. Die Bezeichnung der Entität muss als „def“ angegeben werden.,Grundbuch,Attribut:Wert erforderlich,,stc://base-0-5/relation:defines,attribute.stc://base-0-5/relation:defines,Relation
Attribut,relation:possible,mögliche Handlung/Ereignis,"Eine Handlung wird nicht vollzogen oder ein Ereignis passiert nicht, sondern es wird nur als Möglichkeit benannt.",Grundbuch,,,stc://base-0-5/relation:possible,attribute.stc://base-0-5/relation:possible,Relation
Attribut,relation:past,vergangene Handlung/Ereignis,Eine Handlung oder ein Ereignis ist in der Vergangenheit geschehen.,Grundbuch,,,stc://base-0-5/relation:past,attribute.stc://base-0-5/relation:past,Relation
Attribut,relation:figurative,bildlich zu verstehen,"Die Relation ist nicht wörtlich zu verstehen, sondern bildlich gemeint",Grundbuch,,,stc://base-0-5/relation:figurative,attribute.stc://base-0-5/relation:figurative,Relation
Attribut,relation:background,Hintergrundwissen,"Markiert eine Relation, die nicht explizit im Text steht, aber als Hintergrundwissen für das Verständnis des Textes erforderlich ist.",Grundbuch,,,stc://base-0-5/relation:background,attribute.stc://base-0-5/relation:background,Relation
