O/E/A,Title (EN),Bezeichnung (deutsch),Beschreibung (falls nicht aus externer Ontologie entnommen)/Definition,Grund-/Fachbuch,Attribute,Relationen,UUID,key,anwendbar auf
Entität,SPD,Sozialdemokratische Partei Deutschlands,Die Sozialdemokratische Partei Deutschlands (SPD) ist eine politische Partei in Deutschland.,Fachbuch,,,https://www.wikidata.org/wiki/Q49768,entity.https://www.wikidata.org/wiki/Q49768,
Entität,CDU/CSU Bundestagsfraktion,CDU/CSU Bundestagsfraktion,Die CDU/CSU-Fraktion im Deutschen Bundestag (kurz CDU/CSU-Bundestagsfraktion oder Unionsfraktion) ist die gemeinsame Fraktion der oft als Unionsparteien bezeichneten Schwesterparteien CDU und CSU im Deutschen Bundestag. Vorsitzender der Fraktion ist Friedrich Merz. ,Fachbuch,,,https://www.wikidata.org/wiki/Q1023134,entity.https://www.wikidata.org/wiki/Q1023134,
Entität,German Alliance Partner,Deutsche Bündnispartner,Internationale Verbündete der Bundesrepublik Deutschland,Fachbuch,,,stc://media-0-4/German_Alliance_Partner,entity.stc://media-0-4/German_Alliance_Partner,
Entität,Cabinet of Germany,Deutsche Bundesregierung,Die Bundesregierung ist ein Verfassungsorgan und übt die Exekutivgewalt auf Bundesebene aus. Sie besteht aus dem Bundeskanzler und den Bundesministern.,Fachbuch,,,https://dbpedia.org/page/Cabinet_of_Germany,entity.https://dbpedia.org/page/Cabinet_of_Germany,
Entität,Chancellor of Germany,Deutsche/r Bundeskanzler/in,Der Bundeskanzler ist der Regierungschef der Bundesrepublik Deutschland. ,Fachbuch,,,https://dbpedia.org/page/Chancellor_of_Germany,entity.https://dbpedia.org/page/Chancellor_of_Germany,
Entität,Armed Forces (Germany),Bundeswehr,Die Bundeswehr umfasst die Streitkräfte der Bundesrepublik Deutschland sowie zivile Bereiche. ,Fachbuch,,,https://www.wikidata.org/wiki/Q56010,entity.https://www.wikidata.org/wiki/Q56010,
Entität,NATO,NATO (Militärbündnis),"Die NATO ist ein Verteidigungsbündnis von 30 europäischen und nordamerikanischen Mitgliedstaaten, das dem gemeinsamen Schutz der eigenen Territorien dient und darüber hinaus das Ziel weltweiter politischer Sicherheit und Stabilität verfolgt.",Fachbuch,,,https://dbpedia.org/page/NATO,entity.https://dbpedia.org/page/NATO,
Entität,Federal Republic of Germany,Bundesrepublik Deutschland,Die Bundesrepublik Deutschland) ist ein Bundesstaat in Mitteleuropa.,Fachbuch,,,https://dbpedia.org/page/Germany,entity.https://dbpedia.org/page/Germany,
Entität,German Bundestag,Deutscher Bundestag,Der Deutsche Bundestag ist das Parlament und somit das gesetzgebende Organ der Bundesrepublik Deutschland mit Sitz in Berlin.,Fachbuch,,,https://dbpedia.org/page/Bundestag,entity.https://dbpedia.org/page/Bundestag,
Entität,faction leader,Fraktionschef,"Der Fraktionsvorsitzende (Deutschland), Klubobmann (Österreich) oder Fraktionspräsident (Schweiz), umgangssprachlich auch Fraktionschef, ist der Leiter einer Fraktion in einem demokratisch gewählten Parlament. ",Fachbuch,,,https://www.wikidata.org/wiki/Q928764,entity.https://www.wikidata.org/wiki/Q928764,
,,,,,,,,,
,Anteile/Prozentangaben,,,,,,,,
Entität,QuantityHalf,die Hälfte,50 Prozent einer Einheit,Fachbuch,,[QuantityHalf] <is a> [Quantity],stc://media-0-4/QuantityHalf,entity.stc://media-0-4/QuantityHalf,
Entität,QuantityThird,ein Dritte,"33,33 Prozent einer Einheit",Fachbuch,,[QuantityThird] <is a> [Quantity],stc://media-0-4/QuantityThird,entity.stc://media-0-4/QuantityThird,
